transaction_id,debtor_id,transaction_date,amount,sender,receiver,relation_type,transaction_type
T0001,D001,2026-05-05,900000,D001,김OO,가족,송금
T0002,D001,2026-05-08,950000,D001,김OO,가족,송금
T0003,D001,2026-05-12,800000,D001,김OO,가족,송금
T0004,D001,2026-05-15,990000,D001,김OO,가족,송금
T0005,D001,2026-05-18,850000,D001,김OO,가족,송금
T0006,D001,2026-05-22,900000,D001,김OO,가족,송금
T0007,D001,2026-05-25,910000,D001,김OO,가족,송금
T0008,D001,2026-04-10,8000000,D001,이OO,지인,송금
T0009,D001,2026-05-26,5000000,김OO,김OO배우자,가족,송금
T0010,D001,2026-05-28,4800000,김OO배우자,박OO법인,법인,송금
T1001,D002,2026-05-03,150000,D002,OO마트,법인,카드결제
T1002,D002,2026-05-10,89000,D002,OO통신,법인,카드결제
T1003,D002,2026-05-17,450000,D002,OO카드,법인,카드결제
T1004,D002,2026-05-24,120000,D002,OO보험,법인,카드결제
